# 简拼索引（自动生成，改词库后重跑 scripts/gen-jianpin-index.py）
# 格式：编码	词	权重
bbcwh	白鼻丛尾猴	1
bbcy	百不存一	5
bbcz	并不存在	100
bbd	宝宝的	80875
bbd	比别的	56000
bbd	并不多	55280
bbd	爸爸的	43330
bbd	并不大	37215
bbd	北部的	21930
bbd	巴不得	12545
bbd	被剥夺	11265
bbd	被逼得	9999
bbd	办不到	9610
bbd	背部的	8015
bbd	被逼的	5365
bbd	巴巴地	3800
bbd	并不低	3575
bbd	饱饱的	3360
bbd	棒棒哒	3333
bbd	棒棒的	3333
bbd	半壁店	1455
bbd	必比登	1395
bbd	被报道	1385
bbdb	并不代表	138725
bbdb	伴白蛋白	1
bbdb	变白蛋白	1
bbdbb	巴不得爸爸	100
bbdbbjyy	爸爸的爸爸叫爷爷	100
bbdbdl	宝贝得不得了	100
bbdbshm	并不代表什么	100
bbdc	不背单词	100
bbdc	北白岱村	4
bbdchzh	宝宝的成长	100
bbdd	斑斑点点	2860
bbdd	步兵大队	490
bbdd	被剥夺的	100
bbdd	笨笨呆呆	100
bbdd	并不懂得	100
bbdg	步步登高	885
bbdgr	鼻病毒感染	4
bbdh	爸爸的话	100
bbdh	卑鄙得很	100
bbdj	并不多见	13405
bbdj	爸爸当家	100
bbdjb	帮帮大家吧	100
bbdjh	斑驳的家徽	100
bbdjs	爸爸的角色	100
bbdk	百变大咖	100
bbdk	绷巴吊拷	100
bbdk	绷扒吊拷	100
bbdkd	播报多看点	55
bbdkl	爸爸的快乐	100
bbdl	巴布狄伦	100
bbdl	棒棒的啦	100
bbdl	鲍勃·迪伦	100
bbdl	博比达林	100
bbdl	步步堕落	100
bbdlf	白白地浪费	100
bbdlfl	白白地浪费了	100
bbdm	坂本冬美	2
bbdm	鼻背动脉	2
bbdmbf	被逼得没办法	100
bbdn	百般刁难	1600
bbdn	帮不到你	527
bbdn	八百多年	100
bbdn	巴不得呢	100
bbdn	巴不得你	100
bbdn	半壁东南	100
bbdnm	巴不得你们	100
bbdq	北部地区	9440
bbdq	蚌埠地区	1
bbdr	卑鄙的人	1140
bbdr	奔波的人	655
bbdrzh	斑比的熔渣	100
bbds	巴巴多斯	2375
bbdsh	不必多说	3210
bbdshjd	部部都是经典	100
bbdshzh	宝宝的生长	100
bbdslgy	半壁店森林公园	3
bbdspxhy	巴巴多斯瓢鰕虎鱼	1
bbdt	包办代替	5030
bbdtnm	臂斑大头糯鳗	1
bbdtzh	宝宝的体重	100
bbdw	八百多万	104
bbdwzhd	变被动为主动	4520
bbdx	不必担心	29325
bbdx	不必多想	100
bbdy	并不等于	23395
bbdy	碧波荡漾	8980
bbdy	报表打印	3155
bbdy	并不低于	825
bbdy	不便多言	340
bbdy	逼不得已	326
bbdy	不被定义	135
bbdy	百不当一	100
bbdy	百不得一	100
bbdy	不必多言	100
bbdy	必不得已	2
bbdywx	不被定义文学	100
bbdyx	不败的英雄	135
bbdzh	不必当真	100
bbdzh	版本定制	79
bbdzhsh	八宝蛋炸食	2
bbdztwl	被逼得走投无路	100
bbdztwll	被逼得走投无路了	100
bbf	八宝饭	16555
bbf	半部分	3260
bbf	把部分	3075
bbf	把比分	2790
bbf	波波夫	1465
bbf	背包袱	600
bbf	避避风	190
bbf	笔笔返	140
bbf	背背飞	100
bbf	本办法	100
bbf	笨办法	100
bbf	别不服	100
bbf	簿本费	100
bbf	宝宝福	59
bbf	不备份	12
bbf	不本分	3
bbfb	并不方便	100
bbfch	百般奉承	100
bbff	本本分分	710
bbfgl	拨备覆盖率	100
bbfh	百倍奉还	100
bbfh	败部复活	100
bbfh	蚌埠分行	1
bbfj	百步飞剑	164
bbfj	背碑覆局	1
bbfl	颁布法令	1275
bbfl	颁布法律	710
bbfn	苯并呋喃	100
bbfp	不包分配	1530
bbfq	别不服气	100
bbfsh	白背飞虱	100
bbfsh	报本反始	100
bbft	避避风头	875
bbfw	百般抚慰	6
bbfwq	报表服务器	490
bbfwqsj	白鼻凤尾七丝鲚	1
bbfx	报表分析	2330
bbfx	辨别方向	1905
bbfx	不避风险	85
bbfy	并不富裕	102
bbfy	不蔽风雨	100
bbfy	不避斧钺	100
bbfzhmcq	白斑非洲盲刺鳅	1
bbg	本报告	32255
bbg	步步高	21840
bbg	被曝光	8935
bbg	比不过	6255
bbg	本不该	4765
bbg	不变更	1200
bbg	不悲观	525
bbg	不必管	199
bbg	把把关	100
bbg	八不归	100
bbg	百变怪	100
bbg	被扒光	100
bbg	杯白干	100
bbg	别不过	100
bbg	并不高	100
bbg	波波鸽	100
bbg	不曝光	100
bbg	报备过	76
bbg	不办公	68
bbg	补办过	65
bbgch	并不构成	230
bbgchd	本不该承担	100
bbgd	宝贝疙瘩	1120
bbgd	版本过低	174
bbgd	遍布各地	100
bbgdjd	不必过度解读	100
bbgdkh	不必过度恐慌	100
bbgf	北玻股份	20
bbgg	碧波滚滚	8
bbgh	八百孤寒	100
bbgh	不必挂怀	100
bbgj	报表工具	776
bbgl	版本管理	5311
bbgl	北滨公路	100
bbgl	不必顾虑	100
bbglgj	版本管理工具	1202
bbgltd	不必顾虑太多	100
bbgmshm	八辨隔膜水母	1
bbgn	报表功能	1950
bbgn	比不过你	100
bbgsh	步步高升	4520
bbgsh	报表格式	2695
bbgsh	抱冰公事	100
bbgsh	必背古诗	100
bbgsh	报冰公事	5
bbgshw	必背古诗文	100
bbgt	白变个体	5
bbgx	版本更新	5347
bbgy	白斑狗鱼	100
bbgy	八宝鳜鱼	2
bbgyf	被扒光衣服	100
bbgyyshj	步步高音乐手机	100
bbgzh	摆八卦阵	1
bbh	并不会	64615
bbh	版本号	59417
bbh	不包含	29945
bbh	并不好	15790
bbh	不饱和	12145
bbh	便不会	9220
bbh	被保护	7795
bbh	并不很	7795
bbh	颁布后	6550
bbh	被驳回	4765
bbh	被捕后	3280
bbh	办不好	1790
bbh	并不坏	1485
bbh	不变化	1400
bbh	博博会	167
bbh	不补货	108
bbh	不闭环	100
bbh	补不回	100
bbh	白百何	90
bbh	八宝壶	64
bbhchzh	蚌埠火车站	100
bbhd	办不好的	100
bbhdgj	被保护的感觉	100
bbhdhh	被保护得很好	100
bbhdsh	办不好的事	100
bbhfk	便不会反抗	100
bbhg	被保护国	70
bbhgz	八步红瓜子	25
bbhh	比比画画	945
bbhh	八百回合	100
bbhh	并不含糊	100
bbhhqshh	白白红红千树花	1180
bbhj	并不罕见	2645
bbhj	巴比合金	100
bbhj	并不好记	100
bbhl	本币汇率	100
bbhl	补不回来	100
bbhlj	八宝葫芦鸡	11
bbhll	爸爸回来了	100
bbhm	芭本海默	100
bbhmzh	八宝黑米粥	5
bbhr	被保护人	210
bbhry	不饱和溶液	780
bbhsh	并不合适	2620
bbhsh	半壁河山	980
bbhsh	八宝海参	1
bbhshb	白斑黑石鵖	1
bbhshmm	爸爸还是妈妈	100
bbhshzh	不饱和树脂	1585
bbht	版本回退	1048
bbht	不饱和烃	305
bbht	并不互通	100
bbht	八宝胡同	2
bbht	巴巴胡同	1
bbht	裱褙胡同	1
bbhw	宝贝和我	24
bbhx	不必灰心	1830
bbhx	宝宝还小	100
bbhx	不必回信	70
bbhx	奔巴海峡	15
bbhxxq	不包含性析取	1
bbhy	包办婚姻	2885
bbhy	并不欢迎	850
bbhy	不包含于	123
bbhy	百不获一	100
bbhy	包庇护佑	100
bbhy	便不会有	100
bbhy	碧波花园	34
bbhy	百般花样	25
bbhy	蚌埠怀远	1
bbhys	别不好意思	100
bbhz	帮帮孩子	118
bbhzh	被保护者	495
bbhzh	坂本花织	100
bbhzh	抱宝怀珍	1
bbhzhfs	不饱和脂肪酸	16365
bbj	被绑架	10810
bbj	被北京	10010
bbj	背背佳	4650
bbj	棒棒鸡	1787
bbj	刨冰机	1350
bbj	钵钵鸡	850
bbj	爸爸讲	580
bbj	爸爸将	570
bbj	八宝鸡	341
bbj	被暴击	222
bbj	八宝街	216
bbj	表白季	193
bbj	蹦蹦鸡	160
bbj	不拜金	144
bbj	被保级	111
bbj	白白酱	100
bbj	宝包茧	100
bbj	刨边机	100
bbj	本班级	100
bbj	波本酒	100
bbjb	步步紧逼	4380
bbjb	百般狡辩	335
bbjb	八八九八	100
bbjbn	八八九八年	100
bbjc	版本检测	359
bbjd	爸爸觉得	100
bbjd	宝宝觉得	100
bbjd	并不见得	100
bbjd	并不觉得	100
bbjd	滨北街道	6
bbjdb	并不见得比	100
bbjdlxsh	白波九道流雪山	2
bbjdyshm	并不觉得有什么	100
bbjf	鞭不及腹	1
bbjg	不变价格	1530
bbjg	保本价格	125
bbjh	并不惊慌	100
bbjh	步步惊魂	100
bbjhr	半壁见海日	6
bbjht	北半截胡同	8
bbjj	并不仅仅	14625
bbjj	白白净净	2290
bbjj	保本基金	1990
bbjj	边边角角	1670
bbjj	百变酒精	163
bbjj	巴巴结结	100
bbjj	八八九九	100
bbjj	宝宝咀嚼	100
bbjj	巴巴急急	1
bbjj	彬彬济济	1
bbjj	步步叫将	1
bbjjn	八八九九年	100
bbjkchzh	宝宝健康成长	100
bbjl	变本加厉	11695
bbjl	不败纪录	520
bbjl	版本记录	245
bbjl	被暴击了	222
bbjl	八八九〇	100
bbjl	八八九六	100
bbjl	宝宝降临	100
bbjl	被绑架了	100
bbjl	并不记录	100
bbjl	背部痉挛	12
bbjln	八八九〇年	100
bbjln	八八九六年	100
bbjm	避不见面	430
bbjm	背本就末	1
bbjn	不必拘泥	855
bbjq	八八九七	100
bbjq	报不进去	100
bbjqn	八八九七年	100
bbjr	版本兼容	2371
bbjr	比比皆然	100
bbjr	并包兼容	100
bbjr	兵不接刃	1
bbjs	八八九三	100
bbjs	八八九四	100
bbjs	棒棒鸡丝	24
bbjsh	比比皆是	38890
bbjsh	半壁江山	18185
bbjsh	八百九十	540
bbjsh	不败金身	155
bbjsh	百变机兽	38
bbjsh	宝宝金水	25
bbjshb	八百九十八	20
bbjshj	八百九十九	20
bbjshl	八百九十六	5
bbjshq	八百九十七	40
bbjshs	八百九十三	30
bbjshs	八百九十四	15
bbjshw	八百九十万	65
bbjshw	八百九十五	20
bbjshy	八百九十一	5
bbjshyq	百病皆生于气	9
bbjsn	八八九三年	100
bbjsn	八八九四年	100
bbjt	八病九痛	100
bbjw	八八九五	100
bbjw	兵败将亡	9
bbjwn	八八九五年	100
bbjx	表表决心	9999
bbjx	不避艰险	250
bbjx	步步惊心	100
bbjy	并不介意	3380
bbjy	爸爸加油	100
bbjy	八八九一	100
bbjy	百不及一	100
bbjy	并不具有	76
bbjy	八宝甲鱼	29
bbjyn	八八九一年	100
bbjyysh	不必急于一时	100
bbjz	包包饺子	1180
bbjz	别摆架子	100
bbjz	彬彬君子	100
bbjz	不包饺子	100
bbjzh	本报记者	163050
bbjzh	标本兼治	32105
bbjzh	被绑架者	470
bbjzhyyl	百步九折萦岩峦	2
bbjzysh	不必急在一时	100
bbk	不包括	145380
bbk	背包客	10015
bbk	版本库	8811
bbk	补补课	5505
bbk	不补课	2535
bbk	比比看	2300
bbk	巴贝克	100
bbk	摆不开	100
bbk	宝宝裤	100
bbk	报本科	100
bbk	变变看	100
bbk	贝贝客	1
bbkd	爸爸肯定	120
bbkf	报表开发	421
bbkh	并不看好	100
bbkht	八步口胡同	2
bbkht	八宝坑胡同	1
bbkk	斑斑可考	100
bbkk	班班可考	100
bbkk	绊绊磕磕	4
bbkl	并不快乐	100
bbklyzh	北碚恐龙遗址	1
bbkm	必不可免	830
bbkn	必不可能	100
bbkn	并不困难	100
bbkp	并不可怕	100
bbkq	必不可缺	2400
bbkq	不必客气	2285
bbkq	八百块钱	100
bbkq	百把块钱	64
bbksh	必不可少	115735
bbksh	编班考试	100
bbkshdyh	必不可少的一环	100
bbkshzch	必不可少组成	100
bbkwsh	不悲口无食	1
bbkx	并不可行	100
bbky	布比卡因	81
bbky	包被抗原	5
bbky	北碚肯蚖	1
bbkzh	版本控制	11478
bbkzh	并不看重	100
bbkzh	不卜可知	100
bbkzhgj	版本控制工具	2102
